id,verification_url,name,x_username,totalPL,ROI,total_capital,date
9106,https://t.co/s5k7CC6qvf,Samved Sinho,@SamvedSinho,39475.0,,,2024-07-04
9053,https://t.co/IOnvfI89Fz,KD,@KushalBavishi,41618.0,,,2024-07-04
9101,https://t.co/sbJHq2KZsJ,David,@SsSachan2,45328.0,,,2024-07-04
9054,https://t.co/A73Dq9jYn9,Nilesh Dubge,@nilesdubge,47730.0,,,2024-07-04
9081,https://t.co/PxtxmkI6Fu,Sujit Singh,@ssujitsinghh,52336.0,,,2024-07-04
9115,https://t.co/vYaH0zkUEu,Quinnox_Trader(VJ),@Quinnox_Trader,56618.0,,,2024-07-04
9079,https://t.co/2DG2UX5Tw3,Market Plutus,@MarketPlutus,56724.0,,,2024-07-04
9127,https://t.co/pH181cleWl,Arjun KL,@arjuntrades,58329.0,,,2024-07-04
9096,https://t.co/bbQ0nBDmL0,Ladwi,@ladwi123,58794.0,+0.68%,86.25L,2024-07-04
9063,https://t.co/OEOr3XEQY6,Rohan Singhal,@rohan__Singhal,59749.0,,,2024-07-04
9031,https://t.co/Fl2AGU2K4T,Pritesh Kakani,@pritesh2009,67380.0,+1.1%,58.76L,2024-07-04
9077,https://t.co/QxO7Shb3oa,Rishab Singh Dheer,@RishabSD,67475.0,,,2024-07-04
9128,https://t.co/X8MCZPdMHW,Rishab | Trader,@RishabTrader,68764.0,,,2024-07-04
9084,https://t.co/xmexIBZvYJ,Jogi The Trader,@jogi_trader,69202.0,,,2024-07-04
9111,https://t.co/UUdJHXV27v,Option Writer,@OptionWriter_,81351.0,+11%,7.11L,2024-07-04
9087,https://t.co/Ml92dbAZa1,Eighth Wonder Capital Miners,@eighth_wonders,83795.0,,,2024-07-04
9113,https://t.co/mm08ApbUdC,LtCdr Naresh Kumar🍥 🇮🇳,@PhalshwalNK,98038.0,+1%,95.34L,2024-07-04
9072,https://t.co/VDhtwPmqXW,Vipul Chouhan,@VeipulChouhan,98830.0,+0.73%,1.35Cr,2024-07-04
9022,https://t.co/cS55fYBxIv,Prachi Bahety,@Prachirathi502,1030000.0,,,2024-07-04
9138,https://t.co/GZU07deL8o,Nayan Rathod,@NayanCRathod,1550000.0,,,2024-07-04
9055,https://t.co/EBQJgquCk2,Dwipanjit Handique,@dwipanjithandiq,1930000.0,,,2024-07-04
9117,https://t.co/ZkHgsXu4tP,Nitin_scorp,@Nitin_scorp,4420000.0,,,2024-07-04
9073,https://t.co/UTkp2TQC8A,Nilesh Panchal,@BullBearTradess,4770000.0,,,2024-07-04
